Date,Open,High,Low,Close,Adj Close,Volume
2019-10-16,142.800003,143.899994,142.800003,142.979996,142.979996,14200
2019-10-17,143.830002,144.110001,143.649994,143.649994,143.649994,3100
2019-10-18,142.630005,142.789993,141.539993,141.550003,141.550003,10700
2019-10-21,141.460007,142.399994,141.160004,141.690002,141.690002,5700
2019-10-22,141.570007,141.630005,140.820007,140.830002,140.830002,7100
2019-10-23,140.889999,141.830002,140.570007,141.830002,141.830002,11200
2019-10-24,142.149994,142.360001,140.809998,141.050003,141.050003,2500
2019-10-25,140.580002,142.399994,140.580002,142.080002,142.080002,2300
2019-10-28,143.369995,143.449997,142.429993,143.240005,143.240005,5500
2019-10-29,143.979996,146.220001,143.720001,146.220001,146.220001,9000
2019-10-30,145.660004,146.190002,145.039993,146.139999,146.139999,8300
2019-10-31,145.800003,146.029999,145.380005,145.979996,145.979996,17900
2019-11-01,146.520004,147.100006,146.240005,146.259995,146.259995,4200
2019-11-04,147.009995,147.009995,145.570007,145.570007,145.570007,4400
2019-11-05,145.520004,145.520004,144.169998,144.179993,144.179993,6600
2019-11-06,144.139999,144.139999,143.339996,143.460007,143.460007,4700
2019-11-07,143.800003,144.350006,143.250000,143.470001,143.470001,6800
2019-11-08,143.199997,144.899994,143.199997,144.899994,144.899994,4600
2019-11-11,144.009995,144.250000,143.860001,144.250000,144.250000,8500
2019-11-12,144.369995,145.289993,143.979996,143.979996,143.979996,5800
2019-11-13,143.490005,144.580002,143.490005,144.229996,144.229996,3000
2019-11-14,143.929993,143.949997,143.179993,143.809998,143.809998,5400
2019-11-15,144.449997,146.190002,144.110001,146.100006,146.100006,20200
2019-11-18,145.690002,145.979996,145.380005,145.639999,145.639999,31100
2019-11-19,146.029999,146.740005,146.029999,146.539993,146.539993,4500
2019-11-20,146.410004,147.550003,146.410004,146.929993,146.929993,3300
2019-11-21,147.190002,147.789993,147.000000,147.509995,147.509995,3000
2019-11-22,148.199997,148.860001,148.110001,148.699997,148.699997,6900
2019-11-25,148.729996,150.110001,148.729996,149.899994,149.899994,9400
2019-11-26,149.600006,150.660004,149.600006,150.500000,150.500000,5300
2019-11-27,150.389999,151.830002,150.389999,151.539993,151.539993,27400
2019-11-29,150.990005,151.750000,150.990005,151.330002,151.330002,24100
